Date; time; Left actuator; Right actuator
11.25.2015; 16:55:43; 0; 0
11.25.2015; 16:55:43; 0; 0
11.25.2015; 16:55:43; 0; 0
11.25.2015; 16:55:43; 0; 0
11.25.2015; 16:55:44; 0; 0
11.25.2015; 16:55:44; 0; 0
11.25.2015; 16:55:44; 0; 0
11.25.2015; 16:55:44; 0; 0
11.25.2015; 16:55:44; 0; 0
11.25.2015; 16:55:44; 0; 0
11.25.2015; 16:55:44; 0; 0
11.25.2015; 16:55:44; 0; 0
11.25.2015; 16:55:44; 0; 0
11.25.2015; 16:55:45; 0; 0
11.25.2015; 16:55:45; 0; 0
11.25.2015; 16:55:45; 0; 0
11.25.2015; 16:55:45; 0; 0
11.25.2015; 16:55:45; 0; 0
11.25.2015; 16:55:45; 0; 0
11.25.2015; 16:55:45; 0; 0
11.25.2015; 16:55:45; 0; 0
11.25.2015; 16:55:45; 0; 0
11.25.2015; 16:55:46; 0; 0
11.25.2015; 16:55:46; 0; 0
11.25.2015; 16:55:46; 0; 0
11.25.2015; 16:55:46; 0; 0
11.25.2015; 16:55:46; 0; 0
11.25.2015; 16:55:46; 0; 0
11.25.2015; 16:55:46; 0; 0
11.25.2015; 16:55:46; 0; 0
11.25.2015; 16:55:46; 0; 0
11.25.2015; 16:55:47; 0; 0
11.25.2015; 16:55:47; 0; 0
11.25.2015; 16:55:47; 0; 0
11.25.2015; 16:55:47; 0; 0
11.25.2015; 16:55:47; 0; 0
11.25.2015; 16:55:47; 0; 0
11.25.2015; 16:55:47; 0; 0
11.25.2015; 16:55:47; 0; 0
11.25.2015; 16:55:47; 0; 0
11.25.2015; 16:55:47; 0; 0
11.25.2015; 16:55:48; 0; 0
11.25.2015; 16:55:48; 0; 0
11.25.2015; 16:55:48; 0; 0
11.25.2015; 16:55:48; 0; 0
11.25.2015; 16:55:48; 0; 0
11.25.2015; 16:55:48; 0; 0
11.25.2015; 16:55:48; 0; 0
11.25.2015; 16:55:48; 0; 0
11.25.2015; 16:55:48; 0; 0
11.25.2015; 16:55:49; 0; 0
11.25.2015; 16:55:49; 0; 0
11.25.2015; 16:55:49; 0; 0
11.25.2015; 16:55:49; 0; 0
11.25.2015; 16:55:49; 0; 0
11.25.2015; 16:55:49; 0; 0
11.25.2015; 16:55:49; 0; 0
11.25.2015; 16:55:49; 0; 0
11.25.2015; 16:55:49; 0; 0
11.25.2015; 16:55:50; 0; 0
11.25.2015; 16:55:50; 0; 0
11.25.2015; 16:55:50; 0; 0
11.25.2015; 16:55:50; 0; 0
11.25.2015; 16:55:50; 0; 0
11.25.2015; 16:55:50; 0; 0
11.25.2015; 16:55:50; 0; 0
11.25.2015; 16:55:50; 0; 0
11.25.2015; 16:55:50; 0; 0
